last_name, first_name,player_id,year,b_ab,b_strikeout,b_walk,batting_avg,slg_percent,on_base_percent,b_rbi,b_total_bases,r_total_stolen_base,r_run,
Bierbrodt, Nick,,2001,6,0,2,.667,.833,.600,0,5,0,3,
Fletcher, Darrin,,2001,416,43,24,.226,.353,.274,56,147,0,36,
Fick, Robert,,2001,401,62,39,.272,.476,.339,61,191,0,62,
Joyner, Wally,,2001,148,18,13,.243,.351,.304,14,52,1,14,
Walker, Todd,,2001,551,82,51,.296,.459,.352,75,253,1,93,
Ventura, Robin,,2001,456,101,88,.237,.419,.359,61,191,2,70,
Branyan, Russell,,2001,315,132,38,.232,.486,.316,54,153,1,48,
Kieschnick, Brooks,,2001,42,13,3,.238,.548,.289,9,23,0,5,
Bigbie, Larry,,2001,131,42,17,.229,.321,.315,11,42,4,15,
Lee, Travis,,2001,555,109,71,.258,.434,.341,90,241,3,75,
Hamilton, Darryl,,2001,126,20,19,.214,.310,.318,5,39,3,15,
Dunwoody, Todd,,2001,61,14,3,.213,.328,.250,3,20,0,6,
Green, Shawn,,2001,619,107,72,.297,.598,.372,125,370,20,121,
Taubensee, Eddie,,2001,116,19,10,.250,.362,.313,11,42,0,16,
